site,timestamp,generation_kwh,consumption_kwh,grid_import_kwh,grid_export_kwh
Muriwai 5kW + Batteries,2026-09-13T02:00:00+12:00,0.0,0.149,0.149,0.0
Muriwai 5kW + Batteries,2026-09-13T02:30:00+12:00,0.0,0.143,0.143,0.0
Muriwai 5kW + Batteries,2026-09-13T03:00:00+12:00,0.0,0.146,0.146,0.0
Muriwai 5kW + Batteries,2026-09-13T03:30:00+12:00,0.0,0.147,0.147,0.0
Muriwai 5kW + Batteries,2026-09-13T04:00:00+12:00,0.0,0.161,0.161,0.0
Muriwai 5kW + Batteries,2026-09-13T04:30:00+12:00,0.0,0.158,0.158,0.0
Muriwai 5kW + Batteries,2026-09-13T05:00:00+12:00,0.0,0.197,0.197,0.0
Muriwai 5kW + Batteries,2026-09-13T05:30:00+12:00,0.0,0.241,0.241,0.0
Muriwai 5kW + Batteries,2026-09-13T06:00:00+12:00,0.023,0.295,0.272,0.0
Muriwai 5kW + Batteries,2026-09-13T06:30:00+12:00,0.102,0.354,0.252,0.0
Muriwai 5kW + Batteries,2026-09-13T07:00:00+12:00,0.205,0.393,0.188,0.0
Muriwai 5kW + Batteries,2026-09-13T07:30:00+12:00,0.304,0.387,0.084,0.0
Muriwai 5kW + Batteries,2026-09-13T08:00:00+12:00,0.416,0.357,0.0,0.059
Muriwai 5kW + Batteries,2026-09-13T08:30:00+12:00,0.534,0.301,0.0,0.233
Muriwai 5kW + Batteries,2026-09-13T09:00:00+12:00,0.662,0.232,0.0,0.43
Muriwai 5kW + Batteries,2026-09-13T09:30:00+12:00,0.772,0.192,0.0,0.581
Muriwai 5kW + Batteries,2026-09-13T10:00:00+12:00,0.866,0.159,0.0,0.708
Muriwai 5kW + Batteries,2026-09-13T10:30:00+12:00,0.935,0.145,0.0,0.79
Muriwai 5kW + Batteries,2026-09-13T11:00:00+12:00,0.999,0.146,0.0,0.853
Muriwai 5kW + Batteries,2026-09-13T11:30:00+12:00,1.083,0.147,0.0,0.936
Muriwai 5kW + Batteries,2026-09-13T12:00:00+12:00,1.106,0.143,0.0,0.963
Muriwai 5kW + Batteries,2026-09-13T12:30:00+12:00,1.101,0.139,0.0,0.961
Muriwai 5kW + Batteries,2026-09-13T13:00:00+12:00,1.111,0.155,0.0,0.956
Muriwai 5kW + Batteries,2026-09-13T13:30:00+12:00,1.091,0.154,0.0,0.937
Muriwai 5kW + Batteries,2026-09-13T14:00:00+12:00,1.066,0.181,0.0,0.885
Muriwai 5kW + Batteries,2026-09-13T14:30:00+12:00,1.005,0.217,0.0,0.788
Muriwai 5kW + Batteries,2026-09-13T15:00:00+12:00,0.921,0.234,0.0,0.687
Muriwai 5kW + Batteries,2026-09-13T15:30:00+12:00,0.851,0.286,0.0,0.565
Muriwai 5kW + Batteries,2026-09-13T16:00:00+12:00,0.77,0.366,0.0,0.404
Muriwai 5kW + Batteries,2026-09-13T16:30:00+12:00,0.656,0.432,0.0,0.224
Muriwai 5kW + Batteries,2026-09-13T17:00:00+12:00,0.551,0.526,0.013,0.038
Muriwai 5kW + Batteries,2026-09-13T17:30:00+12:00,0.441,0.597,0.156,0.0
Muriwai 5kW + Batteries,2026-09-13T18:00:00+12:00,0.329,0.623,0.294,0.0
Muriwai 5kW + Batteries,2026-09-13T18:30:00+12:00,0.221,0.631,0.41,0.0
Muriwai 5kW + Batteries,2026-09-13T19:00:00+12:00,0.118,0.605,0.487,0.0
Muriwai 5kW + Batteries,2026-09-13T19:30:00+12:00,0.035,0.537,0.503,0.0
Muriwai 5kW + Batteries,2026-09-13T20:00:00+12:00,0.0,0.46,0.46,0.0
Muriwai 5kW + Batteries,2026-09-13T20:30:00+12:00,0.0,0.36,0.36,0.0
Muriwai 5kW + Batteries,2026-09-13T21:00:00+12:00,0.0,0.311,0.311,0.0
Muriwai 5kW + Batteries,2026-09-13T21:30:00+12:00,0.0,0.253,0.253,0.0
Muriwai 5kW + Batteries,2026-09-13T22:00:00+12:00,0.0,0.201,0.201,0.0
Muriwai 5kW + Batteries,2026-09-13T22:30:00+12:00,0.0,0.18,0.18,0.0
Muriwai 5kW + Batteries,2026-09-13T23:00:00+12:00,0.0,0.159,0.159,0.0
Muriwai 5kW + Batteries,2026-09-13T23:30:00+12:00,0.0,0.149,0.149,0.0
Muriwai 5kW + Batteries,2026-09-14T00:00:00+12:00,0.0,0.139,0.139,0.0
Muriwai 5kW + Batteries,2026-09-14T00:30:00+12:00,0.0,0.142,0.142,0.0
Muriwai 5kW + Batteries,2026-09-14T01:00:00+12:00,0.0,0.136,0.136,0.0
Muriwai 5kW + Batteries,2026-09-14T01:30:00+12:00,0.0,0.152,0.152,0.0
Muriwai 5kW + Batteries,2026-09-14T02:00:00+12:00,0.0,0.153,0.153,0.0
Muriwai 5kW + Batteries,2026-09-14T02:30:00+12:00,0.0,0.145,0.145,0.0
Muriwai 5kW + Batteries,2026-09-14T03:00:00+12:00,0.0,0.156,0.156,0.0
Muriwai 5kW + Batteries,2026-09-14T03:30:00+12:00,0.0,0.148,0.148,0.0
Muriwai 5kW + Batteries,2026-09-14T04:00:00+12:00,0.0,0.147,0.147,0.0
Muriwai 5kW + Batteries,2026-09-14T04:30:00+12:00,0.0,0.163,0.163,0.0
Muriwai 5kW + Batteries,2026-09-14T05:00:00+12:00,0.0,0.186,0.186,0.0
Muriwai 5kW + Batteries,2026-09-14T05:30:00+12:00,0.0,0.233,0.233,0.0
Muriwai 5kW + Batteries,2026-09-14T06:00:00+12:00,0.02,0.308,0.288,0.0
Muriwai 5kW + Batteries,2026-09-14T06:30:00+12:00,0.086,0.375,0.289,0.0
Muriwai 5kW + Batteries,2026-09-14T07:00:00+12:00,0.171,0.419,0.248,0.0
Muriwai 5kW + Batteries,2026-09-14T07:30:00+12:00,0.263,0.407,0.144,0.0
Muriwai 5kW + Batteries,2026-09-14T08:00:00+12:00,0.36,0.368,0.024,0.016
Muriwai 5kW + Batteries,2026-09-14T08:30:00+12:00,0.447,0.305,0.0,0.141
Muriwai 5kW + Batteries,2026-09-14T09:00:00+12:00,0.554,0.243,0.0,0.312
Muriwai 5kW + Batteries,2026-09-14T09:30:00+12:00,0.64,0.191,0.0,0.449
Muriwai 5kW + Batteries,2026-09-14T10:00:00+12:00,0.724,0.166,0.0,0.558
Muriwai 5kW + Batteries,2026-09-14T10:30:00+12:00,0.777,0.144,0.0,0.634
Muriwai 5kW + Batteries,2026-09-14T11:00:00+12:00,0.845,0.143,0.0,0.702
Muriwai 5kW + Batteries,2026-09-14T11:30:00+12:00,0.905,0.165,0.0,0.74
Muriwai 5kW + Batteries,2026-09-14T12:00:00+12:00,0.938,0.144,0.0,0.794
Muriwai 5kW + Batteries,2026-09-14T12:30:00+12:00,0.952,0.15,0.0,0.802
Muriwai 5kW + Batteries,2026-09-14T13:00:00+12:00,0.936,0.159,0.0,0.777
Muriwai 5kW + Batteries,2026-09-14T13:30:00+12:00,0.94,0.16,0.0,0.78
Muriwai 5kW + Batteries,2026-09-14T14:00:00+12:00,0.897,0.164,0.0,0.732
Muriwai 5kW + Batteries,2026-09-14T14:30:00+12:00,0.854,0.195,0.0,0.658
Muriwai 5kW + Batteries,2026-09-14T15:00:00+12:00,0.806,0.235,0.0,0.571
Muriwai 5kW + Batteries,2026-09-14T15:30:00+12:00,0.747,0.298,0.0,0.449
Muriwai 5kW + Batteries,2026-09-14T16:00:00+12:00,0.641,0.36,0.0,0.28
Muriwai 5kW + Batteries,2026-09-14T16:30:00+12:00,0.574,0.456,0.0,0.118
Muriwai 5kW + Batteries,2026-09-14T17:00:00+12:00,0.48,0.536,0.062,0.006
Muriwai 5kW + Batteries,2026-09-14T17:30:00+12:00,0.376,0.601,0.225,0.0
Muriwai 5kW + Batteries,2026-09-14T18:00:00+12:00,0.287,0.641,0.354,0.0
Muriwai 5kW + Batteries,2026-09-14T18:30:00+12:00,0.186,0.643,0.457,0.0
Muriwai 5kW + Batteries,2026-09-14T19:00:00+12:00,0.1,0.61,0.509,0.0
Muriwai 5kW + Batteries,2026-09-14T19:30:00+12:00,0.029,0.552,0.523,0.0
Muriwai 5kW + Batteries,2026-09-14T20:00:00+12:00,0.0,0.471,0.471,0.0
Muriwai 5kW + Batteries,2026-09-14T20:30:00+12:00,0.0,0.379,0.379,0.0
Muriwai 5kW + Batteries,2026-09-14T21:00:00+12:00,0.0,0.316,0.316,0.0
Muriwai 5kW + Batteries,2026-09-14T21:30:00+12:00,0.0,0.25,0.25,0.0
Muriwai 5kW + Batteries,2026-09-14T22:00:00+12:00,0.0,0.209,0.209,0.0
Muriwai 5kW + Batteries,2026-09-14T22:30:00+12:00,0.0,0.188,0.188,0.0
Muriwai 5kW + Batteries,2026-09-14T23:00:00+12:00,0.0,0.167,0.167,0.0
Muriwai 5kW + Batteries,2026-09-14T23:30:00+12:00,0.0,0.163,0.163,0.0
